FECHA	TMAX	TMIN	NOMBRE
26/10/2023		6.6	DOLORES AERO
26/10/2023	18.5	1.2	EL BOLSON AERO
26/10/2023	12.3	3.5	EL CALAFATE AERO
26/10/2023	24.6	8.0	EL PALOMAR AERO
26/10/2023		13.5	ESCUELA DE AVIACION MILITAR AERO
26/10/2023	14.5	6.0	ESQUEL AERO
26/10/2023	24.5	10.8	EZEIZA AERO
26/10/2023	28.0	18.1	FORMOSA AERO
26/10/2023	28.0	11.2	GENERAL PICO AERO
26/10/2023	14.2	4.5	GOBERNADOR GREGORES AERO
26/10/2023	23.7	10.6	GUALEGUAYCHU AERO
26/10/2023	29.8	16.6	IGUAZU AERO
26/10/2023	27.0	17.0	ITUZAINGO
26/10/2023	27.0	8.0	JACHAL
26/10/2023	24.0	15.7	JUJUY AERO
26/10/2023	22.7	15.0	JUJUY U N
26/10/2023	24.6	8.0	JUNIN AERO
26/10/2023	23.0	7.8	LA PLATA AERO
26/10/2023	25.1	3.7	LA QUIACA OBSERVATORIO
26/10/2023	24.9	16.9	LA RIOJA AERO
26/10/2023	25.5	12.0	LABOULAYE AERO
26/10/2023		10.0	LAS FLORES
26/10/2023	27.2	21.4	LAS LOMITAS
26/10/2023	22.3	4.0	MALARGUE AERO
26/10/2023	19.9	2.2	MAQUINCHAO
26/10/2023	26.8	5.3	MAR DEL PLATA AERO
26/10/2023	26.8	12.2	MARCOS JUAREZ AERO
26/10/2023	24.0	10.2	MARIANO MORENO AERO
26/10/2023	26.9	13.3	MENDOZA AERO
26/10/2023	26.2	13.4	MENDOZA OBSERVATORIO
26/10/2023	24.2	14.0	MERCEDES AERO (CTES)
26/10/2023	25.2	10.5	MERLO AERO
26/10/2023	18.5	15.5	METAN
26/10/2023	24.2	13.0	MONTE CASEROS AERO
26/10/2023	24.3	11.3	MORON AERO
26/10/2023	27.4	9.4	NEUQUEN AERO
26/10/2023	25.2	11.1	NUEVE DE JULIO
26/10/2023	28.0	15.0	OBERA
26/10/2023	24.1	8.1	OLAVARRIA AERO
26/10/2023	22.8	18.0	ORAN AERO
26/10/2023	24.9	12.3	PARANA AERO
26/10/2023	16.5	8.6	PASO DE INDIOS
26/10/2023	23.5	13.4	PASO DE LOS LIBRES AERO
26/10/2023	25.8	9.5	PEHUAJO AERO
26/10/2023	16.9	7.5	PERITO MORENO AERO
26/10/2023	26.0	4.6	PIGUE AERO
26/10/2023	26.5	13.1	PILAR OBSERVATORIO
26/10/2023	27.4	16.3	POSADAS AERO
26/10/2023	28.3	18.2	PRESIDENCIA ROQUE SAENZ PE?A AERO
26/10/2023	17.0	6.2	PUERTO DESEADO AERO
26/10/2023	23.8	8.0	PUERTO MADRYN AERO
26/10/2023	22.2	10.0	PUNTA INDIO B.A.
26/10/2023	26.5	12.5	RAFAELA AERO
26/10/2023	24.5	15.0	RECONQUISTA AERO
26/10/2023	26.5	17.5	RESISTENCIA AERO
26/10/2023	26.5	12.8	RIO CUARTO AERO
26/10/2023	11.4	3.1	RIO GALLEGOS AERO
